Index,Latitude,Longitude,2010,2011,2012,2013,2014,2015,2016,2017,Vals
68,24.34578,71.25181,0.134468749,0.098080575,0.045156892,0.267338514,0.046126105,0.210775658,0.202268958,0.015550368,5
196,23.94278,70.13706,0.128129423,0.153864831,0.330317199,0.405885488,0.335900962,0.493162334,0.445713103,0.449407101,5
197,23.94278,70.21669,0.615225494,0.736177444,1.549450159,1.904106736,1.576344609,2.307944536,2.197580576,2.11455965,5
199,23.94278,70.45556,10.70241737,6.431518555,6.786144733,12.33134365,7.116882324,1.106029749,11.60707664,10.13978958,5
200,23.94278,70.53519,20.94704056,21.9497261,22.93322945,25.97621346,24.30145264,7.417231083,24.52610588,22.70275307,5
235,23.86218,70.13706,0.356915265,0.44234845,1.002279162,1.270720005,0.951393306,1.667130113,1.308970332,1.29496789,5
239,23.86218,70.45556,17.18703651,16.52235985,17.26724052,20.41189575,18.47209358,3.003688812,18.9103756,16.79651642,5
240,23.86218,70.53519,26.70368004,20.33254814,22.80064964,33.52033997,22.37004852,17.40854263,31.60211563,28.39439774,5
241,23.86218,70.61481,111.1351013,94.19167328,108.4858093,145.2149963,106.5981979,111.6372757,117.4774628,116.5846558,5
282,23.78158,70.61481,6.173930168,8.839897156,9.19106102,15.18039513,8.426195145,19.56224442,14.05832577,8.029265404,5
287,23.78158,71.17219,23.84613609,20.5629158,27.41863441,35.91527939,35.68302536,39.68887711,37.01377106,29.66671944,5
291,23.78158,71.49069,40.85916901,47.59780884,31.13302803,72.84785461,55.00027847,37.82585907,68.40579224,18.29733849,5
364,23.62038,69.10194,8.466562271,6.707180977,10.93769646,10.21345043,7.663714886,9.92103672,8.95227623,8.322644234,5
365,23.62038,69.18156,11.42655468,6.175029278,15.92758751,13.5057354,7.107403278,12.80885792,11.71405315,11.01101398,5
366,23.62038,70.29631,2.263798237,0.548966289,0.496813774,2.906435251,0.499062955,0.455714613,2.722006559,2.315382957,5
368,23.62038,70.45556,83.24839783,98.30596924,130.2654114,140.1555328,89.43756104,121.1267624,126.1818085,98.14352417,5
369,23.62038,70.53519,52.58541107,65.46936035,86.70638275,85.29191589,56.57838821,66.37921143,73.64498901,53.92837143,5
375,23.62038,71.41106,22.30468369,23.12197495,30.00806618,27.33034706,31.41736412,29.35700989,31.60140419,14.26016998,5
406,23.53978,69.10194,0.059334397,0.02295517,0.036886677,0.067847319,0.018755477,0.016015425,0.082813881,0.060085751,5
407,23.53978,69.18156,3.214942694,0.723914921,0.772786975,3.791562557,0.674748898,0.284286022,3.71333766,3.151575565,5
408,23.53978,69.34081,1.613166213,1.623745561,2.420917273,2.53970027,2.493098021,2.575217724,2.470237017,2.085751057,5
409,23.53978,69.42044,2.428759336,2.147568464,4.300332069,3.513085842,3.998729229,3.743733168,3.543854713,3.533986568,5
412,23.53978,69.65931,0.225029379,0.216715083,0.565171242,0.636304379,0.58926332,0.714271069,0.669006169,0.835130334,5
413,23.53978,69.73894,0.343655735,0.394870877,0.490447909,0.383985728,0.348828942,0.533358395,0.509632766,0.688406587,5
417,23.53978,70.37594,55.26504898,49.44968414,62.67584229,109.325798,53.87246704,85.67601776,88.73071289,63.71504211,5
418,23.53978,70.45556,56.71092987,60.88786697,90.5007019,111.7285309,69.61719513,99.63751984,99.23764038,69.79340363,5
419,23.53978,70.53519,47.78183746,51.41719818,72.62434387,87.39387512,58.87701797,87.78943634,79.15787506,38.89153671,5
425,23.53978,71.01294,0.441653281,0.500031352,1.72975111,1.974725485,1.729769588,2.289821386,2.149447203,2.294148684,5
458,23.45918,69.02231,0.939185262,1.526713252,7.573946476,3.198684216,1.923961163,2.155899286,16.52791786,1.017760992,5
459,23.45918,69.10194,2.978363276,2.686764002,11.13431454,5.212978363,2.277088165,2.597548485,14.46611691,3.406570435,5
460,23.45918,69.18156,29.10733032,6.796238899,7.170208931,34.42311096,6.302152157,2.880787611,34.77542496,28.76737404,5
461,23.45918,69.34081,0.600087047,0.627812088,1.358054757,1.493337631,1.376439929,1.637487888,1.550569773,1.514724493,5
465,23.45918,69.65931,24.89631271,27.42638588,50.61565018,70.52831268,34.06045151,65.70088196,39.32738113,36.72209549,5
466,23.45918,69.73894,57.64947128,50.53216553,97.37493134,85.31482697,43.14147568,49.15468979,76.90523529,57.94524384,5
469,23.45918,69.97781,3.761109352,1.662704706,1.767292857,6.23016119,4.443155766,6.519433022,4.425203323,4.097054005,5
474,23.45918,70.45556,20.96211815,19.18961906,23.08131409,31.5415554,24.00860977,33.34357834,26.2987442,24.63469505,5
476,23.45918,70.61481,0.713945508,0.867995143,1.437112689,1.966123819,1.429298639,1.787498713,1.977697849,1.772038102,5
479,23.45918,70.85369,20.83929062,8.161836624,7.873122692,24.14812279,7.276519775,5.197363377,23.1289978,20.84782791,5
480,23.45918,70.93331,0.581447363,0.51009047,1.389103293,1.565665603,1.448363662,1.710077167,1.687097073,1.793300509,5
481,23.45918,71.01294,0.22985673,0.260239363,0.900242269,1.027738214,0.900251806,1.191728592,1.118671298,1.193980694,5
491,23.45918,72.20732,212.4378815,178.9524384,196.8053131,180.5058746,200.2940216,187.5618896,212.9692841,189.3218994,5
496,23.45918,72.60544,204.6922455,229.4440765,270.2144165,206.5082245,248.3639679,203.7011108,290.6114197,176.7417297,5
497,23.45918,72.68507,136.4129791,225.3765564,343.177002,147.5144958,175.853363,163.8044891,377.6236267,145.0470886,5
518,23.37858,69.02231,1.344734311,1.81103754,11.08847618,4.168405056,2.863226414,3.121819019,24.28944969,1.517660022,5
519,23.37858,69.10194,7.447685242,9.324601173,21.47978401,31.30889893,8.44342804,29.31630898,26.58715248,11.45861435,5
529,23.37858,69.89819,45.7372551,26.9546051,48.50016403,53.23955154,67.89875793,26.17241669,53.1648941,49.48872375,5
530,23.37858,69.97781,20.64572716,7.549834251,8.960204124,27.15530968,10.64531803,20.46119118,24.00195122,21.22298241,5
531,23.37858,70.05744,17.76328087,8.871525764,21.34166336,24.78426933,9.996634483,16.87184143,22.00798798,19.84493828,5
535,23.37858,70.37594,44.20669556,19.16074181,46.20686722,52.36687851,29.97431183,31.32215118,45.90925598,45.99491501,5
538,23.37858,70.61481,10.05067062,7.270757198,17.59791565,19.00201797,8.059854507,17.23852921,9.813261032,9.459420204,5
555,23.37858,72.52582,278.8462219,215.6669617,227.4346313,281.4406738,309.8753662,252.0557556,295.052063,251.059906,5
556,23.37858,72.60544,153.8659515,184.7782898,238.6293793,178.6911926,211.2002716,178.2030487,282.9382019,172.6909027,5
584,23.29797,69.50006,0.319062352,0.184739158,0.195869625,0.317308277,0.445530415,0.045065776,0.299205393,0.267019808,5
588,23.29797,69.81856,47.09428787,22.05573463,14.72283268,44.91907883,21.23411942,3.817966938,41.21743393,36.57571793,5
590,23.29797,69.97781,88.84867096,64.61572266,97.91131592,109.8390656,69.70161438,76.74282074,99.6136322,98.59583282,5
593,23.29797,70.21669,91.28762054,83.67908478,142.3570099,150.1204834,101.3292007,138.3015137,110.3745499,94.63526154,5
595,23.29797,70.37594,51.39021301,31.53563309,41.49127579,59.24774933,39.97616959,22.1068821,54.39959335,51.03646851,5
615,23.29797,72.52582,188.494812,205.5703583,249.1163177,186.4634247,204.7763062,196.0592194,303.5803528,165.9096222,5
616,23.29797,72.60544,179.6687317,201.9162292,245.4692535,200.3907471,237.5764923,207.0778351,291.6128845,203.8234558,5
628,23.29797,73.56094,101.8951263,101.4790192,104.8506622,104.8506622,104.8506622,101.4790192,110.8203583,101.8951263,5
629,23.29797,73.64057,85.56127167,80.07012939,98.85649872,98.85649872,98.85649872,80.07012939,112.8678665,85.56127167,5
630,23.29797,73.72019,45.08875656,47.65665817,54.60830307,54.60830307,54.60830307,47.65665817,68.38506317,45.08875656,5
634,23.29797,74.03869,20.86312485,12.93016148,13.71400642,26.93641281,13.89621544,21.47563362,24.21554756,23.30416298,5
635,23.29797,74.11832,4.36545372,2.294659615,2.393872499,6.058782101,2.709279776,4.171781063,4.377426624,4.4280653,5
649,23.21737,69.73894,29.41683197,12.31879616,13.31278133,33.83474731,38.68028259,4.253376484,32.70330811,28.58329773,5
650,23.21737,69.81856,27.80112076,17.9604969,14.18021107,34.0494957,16.09052849,26.6375618,34.54758453,33.49515533,5
653,23.21737,70.05744,56.94583511,59.96004105,95.27198029,96.5730896,65.22535706,94.24933624,85.80265808,63.47157669,5
660,23.21737,70.61481,12.53856659,18.37011337,25.48500824,27.22444153,19.00820732,22.8269577,23.81512833,15.40282917,5
681,23.21737,72.52582,128.7010193,162.1742859,187.8002625,120.6467743,131.5549164,128.7351074,211.2087708,88.04803467,5
687,23.21737,73.00357,123.8869247,129.1130524,191.5781097,175.6680145,182.2536774,137.1359711,169.8641663,120.1240845,5
692,23.21737,73.40169,73.61096191,61.23438263,76.85198975,76.85198975,76.85198975,61.23438263,75.07080078,73.61096191,5
695,23.21737,73.64057,82.66992188,74.51973724,94.04444122,94.04444122,94.04444122,74.51973724,110.6522141,82.66992188,5
696,23.21737,73.72019,68.27036285,69.83512878,99.46138763,99.46138763,99.46138763,69.83512878,124.1729507,68.27036285,5
699,23.21737,73.95907,53.1974678,48.60955811,64.80683899,71.94764709,65.69870758,53.57313919,75.47678375,52.51247025,5
700,23.21737,74.03869,42.42640305,26.93581581,29.30910301,51.19511032,28.18263626,42.03082275,51.57061768,43.41708374,5
707,23.13677,68.94269,38.52891159,28.09268951,29.09708977,42.18871689,38.4817276,34.92141724,40.16951752,41.4849205,5
712,23.13677,69.34081,58.69449234,39.6224556,42.15988541,105.8306732,43.50160217,71.97978973,78.85356903,67.62286377,5
714,23.13677,69.50006,1.887782693,0.732442439,0.639130294,1.708852768,0.788498402,0.231533647,1.612866759,1.417965531,5
718,23.13677,69.81856,4.580141544,4.345288277,5.198958874,6.246655941,4.190068245,5.769015789,5.660327911,4.879277229,5
750,23.13677,72.52582,55.76243973,61.26774979,73.46375275,54.35498047,60.36815643,67.37267303,73.69998932,43.40061951,5
751,23.13677,72.60544,46.30185699,23.96584892,58.6807251,52.38763809,57.5149498,48.90520859,66.40120697,52.33551025,5
753,23.13677,72.76469,141.019577,117.0991898,164.839325,140.3323364,162.0578766,150.8892212,181.1287537,112.1177902,5
755,23.13677,72.92394,158.816391,167.8090973,207.6330109,149.6159515,177.1283112,163.9427643,240.7830505,110.9747467,5
765,23.13677,73.72019,65.44851685,58.46577072,65.68096161,65.73738861,65.65836334,58.57963181,83.29517365,66.31797028,5
766,23.13677,73.79982,54.97740936,48.0012207,49.4163475,51.6779213,50.11022186,49.56171799,67.05347443,56.02925491,5
774,23.05617,68.78344,2.285731792,1.219301581,1.343770742,5.562230587,1.162685633,3.850524187,5.346853733,2.751245499,5
775,23.05617,68.86306,82.60240936,25.76979065,69.9810791,81.03725433,48.14947128,61.74333191,72.20800018,66.53700256,5
780,23.05617,69.26119,9.093244553,13.10891342,11.59503841,24.2592392,14.14127731,24.37027359,17.59861183,10.94010544,5
781,23.05617,69.34081,22.03247643,27.82393265,28.36481857,46.46436691,31.79605865,40.71677017,34.47328949,29.41167641,5
784,23.05617,69.57969,19.44799423,7.869655132,5.440413952,19.92093658,8.288229942,3.375869989,19.66710281,19.31450844,5
817,23.05617,72.60544,1.531339765,0.738561332,2.358914614,1.003928185,1.719710588,0.721112907,2.511230469,0.988511145,5
832,23.05617,73.79982,18.37389183,19.1085701,18.48258781,25.47309875,20.26335907,25.10151672,29.53293037,38.54023361,5
833,23.05617,73.87944,67.66760254,54.4370575,54.33600616,74.02708435,52.46425247,63.52765656,79.03243256,106.479248,5
834,23.05617,73.95907,22.07941055,19.86313248,21.47297287,27.29464912,17.96765327,23.13424301,26.32283592,26.28466034,5
838,23.05617,74.27757,7.442256927,3.211518764,5.068539143,9.342002869,4.723823547,7.479222298,7.698690891,6.892708778,5
854,22.97557,69.97781,55.71347809,14.88230991,18.18932152,68.93777466,18.96745491,39.26958084,66.62319183,60.72644806,5
892,22.97557,73.40169,99.95134735,92.44525146,104.7993546,120.9173584,124.4265747,102.1005478,129.7572021,113.1275253,5
895,22.97557,73.64057,64.05989075,51.40618515,54.36572647,77.88348389,65.05910492,74.80966187,84.529953,132.8609924,5
896,22.97557,73.72019,64.25068665,61.46320343,72.66998291,78.33043671,92.15616608,73.51418304,93.84430695,120.051506,5
899,22.97557,73.95907,8.831652641,6.33366394,7.796382904,8.03563118,6.756644249,7.272856712,9.821762085,9.055433273,5
911,22.89497,69.57969,37.44905472,32.24568176,30.60425568,63.40372467,36.16918564,63.75446701,59.29018402,36.66921616,5
914,22.89497,69.81856,1.052350044,0.287988901,0.281278133,1.224832058,0.223536894,0.164013654,1.12218833,0.989324808,5
964,22.89497,74.11832,4.460706711,3.603190899,5.274851799,4.254008293,3.387249947,5.332239151,4.878544331,5.064818382,5
965,22.89497,74.19794,1.603167892,1.439763188,1.816457748,1.523546576,1.229741931,1.171629071,1.5394063,1.885509491,5
966,22.89497,74.27757,7.967106819,6.981946468,8.333179474,9.043362617,6.725022316,8.333206177,8.518226624,9.616679192,5
967,22.89497,74.35719,5.984169483,4.566067696,5.830803394,6.713884354,4.99941206,6.457119465,6.188173294,6.713634491,5
968,22.89497,74.43682,6.207745552,4.088449478,6.887607574,7.383969307,4.714919567,7.593565464,6.544438839,6.901321411,5
978,22.81437,69.81856,0.011210985,0.013441926,0.028438233,0.011106241,0.009524284,0.013244694,0.029199077,0.013175676,5
1023,22.81437,73.87944,36.77401733,23.48123169,32.68365097,30.62154388,37.53889465,36.36774063,34.97075653,34.53425217,5
1028,22.81437,74.27757,13.8027916,10.90574646,14.22347069,15.15563011,10.56696796,12.17079067,13.49884796,15.37562943,5
1029,22.81437,74.35719,15.28285599,11.2557106,15.32465553,16.33622932,11.21580696,13.83982277,14.25751877,16.0966568,5
1030,22.81437,74.43682,7.764268875,4.89059639,6.461982727,9.289138794,5.340239525,9.015963554,8.682767868,7.778561592,5
