Source,Destination,Value
0,102,6.5916893760729485
1,102,35.44124251022287
2,102,64.93832437200075
3,102,88.1892058904598
4,102,22.119516115958547
5,102,33.72855931596632
6,102,44.25420014185796
7,102,46.58954777149909
8,102,41.44077056693932
9,102,54.70861206399728
10,102,10.356333011149417
11,102,5.913583005014663
12,102,4.750765748829256
15,102,34.34440320510044
16,102,85.50602267859209
17,102,148.38423261941637
18,102,139.56493543308233
19,102,80.64721639612533
20,102,108.45015301266504
21,102,117.1117845560054
22,102,108.99824923342044
23,102,122.1451284028501
24,102,121.98431228629316
25,102,75.10297187346279
26,102,42.09597071424788
27,102,37.16893979117752
28,102,5.784913707874387
30,102,30.49459327866925
31,102,93.76167606815594
32,102,138.2556503149919
33,102,142.98430145974874
34,102,126.70834226654398
35,102,111.84717346149984
36,102,161.65619659819856
37,102,155.34682396875272
38,102,102.4690233018034
39,102,73.7299731317998
40,102,71.26285133502647
41,102,88.88612314608578
42,102,98.11856421453209
43,102,31.789004318453497
44,102,3.040886592589544
47,102,15.689757352159573
48,102,86.43799160253948
49,102,117.33574361169424
50,102,117.50897623034923
51,102,106.16829211477868
52,102,108.03773569302392
53,102,157.8656299145841
54,102,145.93466957241205
55,102,126.78303832580274
56,102,157.03453955000933
57,102,119.41224852991638
58,102,103.0776312498246
59,102,78.87560796867749
60,102,76.02654146373824
61,102,16.5201051912385
62,102,9.595506398106258
63,102,23.925279212202792
64,102,11.227818142174891
65,102,4.908925520344533
69,102,8.094909609967797
70,102,104.87532557031945
71,102,123.31790674200695
72,102,123.26517977207638
73,102,112.82236260225018
74,102,153.1918253843063
75,102,188.34071510886625
76,102,135.5129504487791
77,102,110.36061360578964
78,102,185.15965810655783
79,102,179.9771727329607
80,102,114.61150201012478
81,102,37.57737613415145
82,102,49.90885363202672
84,102,82.87376157426884
85,102,34.8238111587055
86,102,6.8577757700610125
87,102,12.703002781912367
89,102,8.989423571848587
91,102,1.400202640130832
92,102,48.7102470433162
